Gen	theta_1El	theta_2Mi	theta_3An	theta_4Po	theta_5Ab	theta_6Ge	theta_7Tr	theta_8MiPoAbAnGeTrEl	theta_9MiPoAbAnGeTr	theta_10MiPoAb	theta_11PoAb	theta_12AnGeTr	theta_13GeTr	tau_8MiPoAbAnGeTrEl	tau_9MiPoAbAnGeTr	tau_10MiPoAb	tau_11PoAb	tau_12AnGeTr	tau_13GeTr	M_El->Ge	M_El->Tr	M_An->Po	M_An->Ge	M_Po->An	M_Po->Ab	M_Ab->Po	M_Ge->El	M_Ge->An	M_Ge->Tr	M_Tr->El	M_Tr->Ge	lnL
1	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.001637	0.006047	0.002769	0.002586	0.009104	0.004573	0.008419	0.002048	0.001885	0.001056	0.000990	0.001642	0.000491	0.000000	0.010701	0.000043	0.265830	0.000256	0.000229	0.123997	0.002061	0.113350	0.049583	0.026612	0.151062	-11935.948
2	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.001637	0.005873	0.002413	0.002586	0.008327	0.004372	0.008419	0.002048	0.001920	0.001056	0.000990	0.001695	0.000491	0.000000	0.010701	0.000463	0.265830	0.000015	0.004554	0.123997	0.000016	0.113350	0.049583	0.026612	0.151062	-11919.603
3	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.001637	0.006658	0.002675	0.002586	0.007584	0.003439	0.009095	0.002048	0.001920	0.001056	0.000990	0.001695	0.000491	0.000000	0.010701	0.000463	0.265830	0.000340	0.004554	0.123997	0.000000	0.113350	0.049583	0.026612	0.151062	-11923.142
4	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.002097	0.007773	0.004407	0.003642	0.006418	0.004286	0.008943	0.002048	0.001920	0.001056	0.001020	0.001695	0.000491	0.000000	0.010701	0.000463	0.265830	0.000009	0.004554	0.123997	0.000003	0.113350	0.049583	0.026612	0.151062	-11926.765
5	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.002097	0.006615	0.005528	0.003642	0.007662	0.006251	0.008943	0.002048	0.001875	0.001056	0.000981	0.001697	0.000491	0.000000	0.010701	0.000463	0.265830	0.000000	0.004554	0.123997	0.000003	0.113350	0.049583	0.026612	0.151062	-11922.260
6	0.003356	0.000902	0.003235	0.003963	0.003818	0.002499	0.002284	0.006623	0.006027	0.003966	0.007078	0.007592	0.009739	0.002230	0.002005	0.001150	0.001068	0.001880	0.000535	0.000000	0.010701	0.000463	0.265830	0.000000	0.001558	0.123997	0.000241	0.113350	0.049583	0.026612	0.151062	-11946.305
7	0.003434	0.000923	0.003310	0.004056	0.003907	0.002557	0.002337	0.007858	0.007512	0.004059	0.005914	0.008064	0.009921	0.002282	0.002052	0.001177	0.001093	0.001874	0.000547	0.000000	0.010701	0.000463	0.265830	0.000000	0.001558	0.123997	0.008611	0.113350	0.049583	0.026612	0.151062	-11952.810
8	0.003061	0.000822	0.002951	0.003615	0.003483	0.002279	0.001431	0.006138	0.006696	0.003618	0.004963	0.005011	0.010069	0.002034	0.001829	0.001049	0.000946	0.001633	0.000488	0.000000	0.006842	0.000463	0.265830	0.000001	0.001558	0.123997	0.008611	0.113350	0.049583	0.026612	0.151062	-11946.041
9	0.003398	0.000913	0.003275	0.004012	0.003865	0.002530	0.001588	0.006812	0.008119	0.003114	0.005508	0.005332	0.011175	0.002258	0.002033	0.001165	0.001049	0.001868	0.000541	0.000000	0.006842	0.000001	0.265830	0.000000	0.001558	0.123997	0.000463	0.113350	0.049583	0.067816	0.197711	-11944.191
10	0.003398	0.000913	0.003275	0.004012	0.003865	0.002530	0.001588	0.006812	0.008454	0.002736	0.005508	0.004563	0.010461	0.002258	0.002046	0.001165	0.001049	0.001834	0.000541	0.000000	0.006842	0.001420	0.265830	0.000000	0.000429	0.123997	0.000463	0.113350	0.049583	0.067816	0.197711	-11974.637
11	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.001479	0.005764	0.008571	0.002298	0.004509	0.003364	0.009379	0.002123	0.001862	0.001085	0.000971	0.001727	0.000504	0.000000	0.006842	0.000033	0.265830	0.000007	0.000013	0.123997	0.000463	0.113350	0.049583	0.067816	0.197711	-11940.920
12	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.001479	0.006326	0.009564	0.003325	0.003623	0.002359	0.009379	0.002123	0.001864	0.001050	0.000918	0.001727	0.000504	0.000000	0.000483	0.000033	0.265830	0.000000	0.001368	0.123997	0.000027	0.113350	0.049583	0.067816	0.197711	-11939.781
13	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.001479	0.007199	0.017678	0.004293	0.004349	0.002359	0.010797	0.002123	0.001809	0.001020	0.000918	0.001727	0.000504	0.000000	0.000667	0.000002	0.265830	0.000000	0.001368	0.123997	0.000027	0.113350	0.049583	0.067816	0.197711	-11958.348
14	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.002068	0.006692	0.016399	0.004293	0.003748	0.001425	0.010100	0.002091	0.001809	0.001020	0.000918	0.001727	0.000504	0.000000	0.000667	0.000002	0.265830	0.000000	0.001368	0.123997	0.001180	0.113350	0.049583	0.067816	0.197711	-11948.474
15	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.002068	0.005917	0.014963	0.004293	0.003748	0.001416	0.009432	0.002091	0.001809	0.001020	0.000918	0.001735	0.000504	0.000000	0.000667	0.000000	0.265830	0.000000	0.001368	0.123997	0.000049	0.113350	0.049583	0.067816	0.197711	-11961.874
16	0.003165	0.000850	0.003051	0.003737	0.002669	0.002518	0.002371	0.005251	0.014963	0.002879	0.003748	0.001477	0.009503	0.002091	0.001809	0.001070	0.000918	0.001685	0.000504	0.000000	0.000667	0.000017	0.265830	0.000000	0.000001	0.123997	0.001797	0.113350	0.049583	0.067816	0.197711	-11957.761
17	0.002383	0.000955	0.003181	0.004199	0.002998	0.002829	0.002664	0.005899	0.015253	0.003595	0.004022	0.001659	0.010677	0.002350	0.002032	0.001202	0.001079	0.001893	0.000566	0.000000	0.001725	0.000893	0.265830	0.000024	0.000000	0.123997	0.001797	0.113350	0.049583	0.067816	0.197711	-11970.855
18	0.002383	0.000955	0.003181	0.004573	0.002998	0.002829	0.002664	0.005657	0.011146	0.004279	0.002177	0.002250	0.011590	0.002350	0.002073	0.001202	0.001116	0.001905	0.000545	0.000000	0.001725	0.000893	0.265830	0.000024	0.000011	0.123997	0.001797	0.113350	0.049583	0.067816	0.197711	-11962.222
19	0.002383	0.000955	0.003181	0.004573	0.002998	0.002829	0.001975	0.006352	0.009071	0.004279	0.001793	0.002188	0.010038	0.002319	0.002111	0.001202	0.001148	0.001943	0.000545	0.000000	0.001725	0.000105	0.265830	0.000024	0.000001	0.123997	0.000008	0.113350	0.049583	0.067816	0.197711	-11986.262
20	0.002337	0.000866	0.002882	0.004144	0.002717	0.002563	0.001790	0.005231	0.007468	0.003877	0.001680	0.001848	0.010910	0.002102	0.001913	0.001090	0.001006	0.001718	0.000494	0.000000	0.001725	0.000003	0.265830	0.000024	0.000000	0.123997	0.000159	0.113350	0.049583	0.067816	0.197711	-11971.459
21	0.002337	0.000866	0.002882	0.004144	0.002717	0.002563	0.001790	0.005231	0.010139	0.003411	0.001680	0.001910	0.008932	0.002102	0.001889	0.001101	0.001006	0.001678	0.000547	0.000000	0.038698	0.000003	0.265830	0.000001	0.000000	0.123997	0.000159	0.113350	0.049583	0.067816	0.197711	-11955.033
