,theta,tau
2p,0.004743,
3p,0.001718,
12p,0.002042,
7p,0.001424,
6p,0.003657,
22p,0.004898,
13p,0.005335,
10p9p,0.004131,
11p,0.004623,
25p,0.002309,
36p,0.001718,
15p18p,0.008497,
14p8p,0.007447,
19p16p,0.005095,
17p,0.001375,
29p,0.001733,
21p,0.005506,
20p,0.004971,
30p,0.000682,
23p,0.000472,
24p,0.000934,
27p,0.000729,
1p,0.00104,
5p,0.003171,
40p,0.00591,
28p26p,0.014415,
41p,0.001368,
31p,0.003374,
32p,0.00448,
39p,0.002568,
38p,0.002631,
42p,0.003138,
43p,0.002456,
34p33p,0.010747,
44p48p,0.002265,
47p,0.000709,
45p,0.000687,
46p4p,0.002933,
35p37p,0.004128,
2p3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.006871,0.007983
3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.107991,0.003715
3p7p10p9p6p11p14p8p,0.004295,0.003438
7p10p9p6p11p14p8p,0.023668,0.001619
7p10p9p,0.00639,0.000395
6p11p14p8p,0.019181,0.000993
11p14p8p,0.00437,0.000862
12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.010184,0.003712
12p22p25p36p,0.004768,0.003153
22p25p36p,0.009075,0.0019
25p36p,0.004039,0.001516
13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.028582,0.003357
13p15p18p,0.040529,0.001786
19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.0085,0.003356
19p16p17p20p24p27p,0.034369,0.001081
17p20p24p27p,0.006561,0.001
20p24p27p,0.003633,0.000639
24p27p,0.001922,0.000283
29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.004109,0.003342
29p30p23p,0.039797,0.002294
30p23p,0.00335,0.000371
21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.034678,0.002805
1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.005373,0.002798
1p5p,0.004867,0.00066
40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.027785,0.002256
40p39p38p41p42p43p44p48p47p45p,0.003661,0.002063
39p38p41p42p43p44p48p47p45p,0.004144,0.001824
39p38p41p,0.020417,0.000683
39p38p,0.005199,0.000566
42p43p44p48p47p45p,0.008918,0.001077
42p43p,0.006991,0.000724
44p48p47p45p,0.008426,0.000728
47p45p,0.007383,0.000322
28p26p31p34p33p32p46p4p35p37p,0.00618,0.002221
31p34p33p32p46p4p35p37p,0.007304,0.00221
31p34p33p,0.016009,0.000684
32p46p4p35p37p,0.006548,0.000877
46p4p35p37p,0.005614,0.000793
